image;Majority Human;GPT-4o
christlichsozialeunion_16-09-2021_00:00_video6.jpeg;Social Media Moderation;Social Media Moderation
die_gruenen_13-09-2021_00:00_video7.jpeg;Social Media Moderation;Social Media Moderation
afd.bund_23-09-2021_00:00_video10.jpeg;Social Media Moderation;Social Media Moderation
dielinke_25-09-2021_00:00_video4.jpeg;Social Media Moderation;Social Media Moderation
cdu_24-09-2021_00:00_video9.jpeg;Social Media Moderation;Social Media Moderation
cdu/2021-09-22_09-45-48_UTC.jpg;Social Media Moderation;Review
nicola_beer/2021-09-21_21-03-29_UTC_1.jpg;Social Media Moderation;Review
spdde_18-09-2021_00:00_video4.jpeg;Social Media Moderation;Social Media Moderation
die_gruenen_25-09-2021_00:00_video41.jpeg;Social Media Moderation;Collage
spdde_14-09-2021_00:00_video4.jpeg;Social Media Moderation;Social Media Moderation
susanne_hennig_wellsow_16-09-2021_00:00_video0.jpeg;Social Media Moderation;Social Media Moderation
spdde/2021-09-24_15-25-20_UTC.jpg;Social Media Moderation;Social Media Moderation
cdu_16-09-2021_00:00_video8.jpeg;Social Media Moderation;Collage
cdu_20-09-2021_00:00_video15.jpeg;Social Media Moderation;Social Media Moderation
cdu_20-09-2021_00:00_video18.jpeg;Social Media Moderation;Media Work
saskiaesken_13-09-2021_00:00_video3.jpeg;Social Media Moderation;Social Media Moderation
olafscholz_20-09-2021_00:00_video3.jpeg;Social Media Moderation;Social Media Moderation
afd.bund_23-09-2021_00:00_video6.jpeg;Social Media Moderation;Social Media Moderation
cdu_13-09-2021_00:00_video12.jpeg;Social Media Moderation;Social Media Moderation
olafscholz/2021-09-18_20-26-35_UTC_5.jpg;Campaign Event;Campaign Event
robert.habeck/2021-09-22_08-19-21_UTC_3.jpg;Campaign Event;Campaign Event
christlichsozialeunion/2021-09-15_19-36-35_UTC_4.jpg;Campaign Event;Campaign Event
abaerbock/2021-09-21_14-36-27_UTC_7.jpg;Campaign Event;Campaign Event
christianlindner/2021-09-21_14-50-34_UTC_6.jpg;Campaign Event;Campaign Event
robert.habeck_23-09-2021_00:00_image6.jpeg;Campaign Event;Campaign Event
robert.habeck_23-09-2021_00:00_image1.jpeg;Campaign Event;Campaign Event
abaerbock_23-09-2021_00:00_image3.jpeg;Campaign Event;Campaign Event
robert.habeck_25-09-2021_00:00_image13.jpeg;Campaign Event;Campaign Event
die_gruenen_20-09-2021_00:00_video3.jpeg;Campaign Event;Individual Voter Contact
olafscholz_25-09-2021_00:00_video5.jpeg;Campaign Event;Campaign Event
spdde/2021-09-24_20-19-17_UTC_3.jpg;Campaign Event;Campaign Event
afd.bund/2021-09-23_08-59-28_UTC.jpg;Campaign Event;Campaign Event
atesgurpinar/2021-09-12_14-33-40_UTC_3.jpg;Campaign Event;Campaign Event
cdu/2021-09-25_13-50-24_UTC_2.jpg;Campaign Event;Campaign Event
afd.bund_25-09-2021_00:00_image16.jpeg;Campaign Event;Social Media Moderation
robert.habeck_13-09-2021_00:00_image9.jpeg;Campaign Event;Campaign Event
abaerbock_18-09-2021_00:00_image16.jpeg;Campaign Event;Campaign Event
robert.habeck_23-09-2021_00:00_video0.jpeg;Campaign Event;Campaign Event
abaerbock_22-09-2021_00:00_image3.jpeg;Campaign Event;Campaign Event
robert.habeck_17-09-2021_00:00_image11.jpeg;Campaign Event;Review
robert.habeck_17-09-2021_00:00_video11.jpeg;Campaign Event;Campaign Event
robert.habeck/2021-09-22_08-19-21_UTC_4.jpg;Campaign Event;Campaign Event
afd.bund/2021-09-18_12-32-37_UTC.jpg;Campaign Event;Campaign Event
cdu_22-09-2021_00:00_image2.jpeg;Campaign Event;Campaign Event
robert.habeck_15-09-2021_00:00_image8.jpeg;Campaign Event;Individual Voter Contact
robert.habeck_25-09-2021_00:00_image5.jpeg;Campaign Event;Campaign Event
olafscholz_22-09-2021_00:00_video3.jpeg;Campaign Event;Campaign Event
susanne_hennig_wellsow/2021-09-24_17-21-09_UTC_3.jpg;Campaign Event;Campaign Event
robert.habeck/2021-09-16_10-06-22_UTC_7.jpg;Campaign Event;Campaign Event
afd.bund/2021-09-25_11-01-21_UTC_7.jpg;Campaign Event;Social Media Moderation
abaerbock/2021-09-23_19-16-58_UTC_6.jpg;Campaign Event;Campaign Event
cdu/2021-09-17_14-14-38_UTC_1.jpg;Campaign Event;Campaign Event
abaerbock_22-09-2021_00:00_image4.jpeg;Campaign Event;Campaign Event
afd.bund_25-09-2021_00:00_image3.jpeg;Campaign Event;Campaign Event
afd.bund_25-09-2021_00:00_image11.jpeg;Campaign Event;Social Media Moderation
abaerbock_24-09-2021_00:00_image6.jpeg;Campaign Event;Campaign Event
robert.habeck_18-09-2021_00:00_image3.jpeg;Campaign Event;Campaign Event
abaerbock_24-09-2021_00:00_image4.jpeg;Campaign Event;Campaign Event
christlichsozialeunion_25-09-2021_00:00_video15.jpeg;Campaign Event;Campaign Event
robert.habeck_23-09-2021_00:00_image8.jpeg;Campaign Event;Campaign Event
saskiaesken_24-09-2021_00:00_video1.jpeg;Campaign Material;Campaign Material
robert.habeck_26-09-2021_00:00_image8.jpeg;Campaign Material;Campaign Material
saskiaesken_24-09-2021_00:00_video2.jpeg;Campaign Material;Campaign Material
fw_bayern_24-09-2021_00:00_image4.jpeg;Campaign Material;Collage
spdde_26-09-2021_00:00_image2.jpeg;Campaign Material;Social Media Moderation
susanne_hennig_wellsow_25-09-2021_00:00_video0.jpeg;Campaign Material;Campaign Material
spdde/2021-09-18_14-42-04_UTC_4.jpg;Campaign Material;Campaign Event
abaerbock_26-09-2021_00:00_image4.jpeg;Campaign Material;Campaign Material
afd.bund_13-09-2021_00:00_image4.jpeg;Campaign Material;Campaign Material
fw_bayern_20-09-2021_00:00_image0.jpeg;Campaign Material;Collage
robert.habeck_17-09-2021_00:00_video12.jpeg;Campaign Material;Collage
afd.bund_17-09-2021_00:00_video3.jpeg;Campaign Material;Campaign Material
spdde/2021-09-24_17-55-02_UTC_8.jpg;Campaign Material;Campaign Material
saskiaesken/2021-09-16_08-41-08_UTC_1.jpg;Campaign Material;Campaign Material
saskiaesken/2021-09-16_08-41-08_UTC_3.jpg;Campaign Material;Campaign Material
saskiaesken/2021-09-17_13-50-10_UTC_3.jpg;Campaign Material;Campaign Material
olafscholz_17-09-2021_00:00_video3.jpeg;Campaign Material;Collage
dielinke/2021-09-24_16-58-00_UTC_2.jpg;Behind The Scenes;Behind The Scenes
robert.habeck_21-09-2021_00:00_image6.jpeg;Behind The Scenes;Social Media Moderation
abaerbock_21-09-2021_00:00_video3.jpeg;Review;Review
christlichsozialeunion_16-09-2021_00:00_image2.jpeg;Review;Review
robert.habeck/2021-09-21_07-27-48_UTC_9.jpg;Review;Review
christianlindner/2021-09-15_18-37-22_UTC_5.jpg;Review;Review
robert.habeck/2021-09-25_09-39-33_UTC.jpg;Behind The Scenes;Behind The Scenes
markus.soeder/2021-09-23_13-00-42_UTC.jpg;Behind The Scenes;Behind The Scenes
robert.habeck/2021-09-18_06-07-12_UTC_5.jpg;Review;Review
afd.bund_14-09-2021_00:00_image3.jpeg;Review;Collage
afd.bund_22-09-2021_00:00_video0.jpeg;Review;Collage
abaerbock_20-09-2021_00:00_video2.jpeg;Behind The Scenes;Individual Voter Contact
cdu/2021-09-15_14-32-35_UTC.jpg;Review;Collage
susanne_hennig_wellsow_21-09-2021_00:00_video1.jpeg;Review;Media Work
robert.habeck_21-09-2021_00:00_image3.jpeg;Review;Collage
robert.habeck_25-09-2021_00:00_image1.jpeg;Behind The Scenes;Behind The Scenes
armin_laschet_20-09-2021_00:00_image3.jpeg;Review;Collage
cdu/2021-09-20_08-26-06_UTC.jpg;Review;Review
markus.soeder_16-09-2021_00:00_video1.jpeg;Behind The Scenes;Review
fdp_19-09-2021_00:00_video0.jpeg;Review;Media Work
christlichsozialeunion_18-09-2021_00:00_video9.jpeg;Behind The Scenes;Behind The Scenes
afd.bund_13-09-2021_00:00_image0.jpeg;Review;Collage
saskiaesken/2021-09-16_08-41-08_UTC_4.jpg;Review;Behind The Scenes
christlichsozialeunion/2021-09-24_17-47-19_UTC_7.jpg;Campaign Event;Media Work
cdu_23-09-2021_00:00_image0.jpeg;Campaign Event;Campaign Event
christlichsozialeunion/2021-09-15_19-36-35_UTC_3.jpg;Campaign Event;Campaign Event
armin_laschet/2021-09-15_09-28-48_UTC_2.jpg;Campaign Event;Media Work
armin_laschet/2021-09-20_14-07-14_UTC_1.jpg;Campaign Event;Media Work
abaerbock/2021-09-22_19-23-29_UTC_2.jpg;Campaign Event;Campaign Event
nicola_beer_20-09-2021_00:00_image3.jpeg;Campaign Event;Campaign Event
armin_laschet_19-09-2021_00:00_video1.jpeg;Campaign Event;Collage
fw_bayern_23-09-2021_00:00_video2.jpeg;Campaign Event;Campaign Event
spdde/2021-09-18_14-42-04_UTC_2.jpg;Campaign Event;Review
cdu/2021-09-15_09-26-42_UTC_1.jpg;Campaign Event;Media Work
cdu/2021-09-19_13-42-10_UTC.jpg;Campaign Event;Campaign Event
cdu/2021-09-25_11-00-47_UTC.jpg;Campaign Event;Campaign Event
nicola_beer_22-09-2021_00:00_video2.jpeg;Campaign Event;Media Work
abaerbock_18-09-2021_00:00_image11.jpeg;Media Work;Behind The Scenes
cdu_16-09-2021_00:00_video0.jpeg;Social Media Moderation;Collage
cdu_22-09-2021_00:00_video0.jpeg;Social Media Moderation;Media Work
christianlindner/2021-09-26_10-04-07_UTC.jpg;Social Media Moderation;Social Media Moderation
christianlindner/2021-09-24_07-02-09_UTC.jpg;Social Media Moderation;Collage
die_gruenen_23-09-2021_00:00_video0.jpeg;Social Media Moderation;Social Media Moderation
afd.bund/2021-09-18_08-25-44_UTC_8.jpg;Campaign Event;Campaign Event
afd.bund_25-09-2021_00:00_image20.jpeg;Campaign Event;Social Media Moderation
fdp_24-09-2021_00:00_video0.jpeg;Campaign Event;Campaign Event
afd.bund_25-09-2021_00:00_video6.jpeg;Campaign Event;Campaign Event
robert.habeck_22-09-2021_00:00_image16.jpeg;Campaign Event;Campaign Event
christianlindner/2021-09-15_18-37-22_UTC_7.jpg;Campaign Event;Campaign Material
spdde/2021-09-18_14-42-04_UTC_5.jpg;Campaign Event;Campaign Event
robert.habeck/2021-09-16_20-45-40_UTC_4.jpg;Campaign Event;Campaign Event
robert.habeck/2021-09-15_19-03-35_UTC_1.jpg;Campaign Event;Review
dielinke_23-09-2021_00:00_video0.jpeg;Campaign Material;Collage
christlichsozialeunion_18-09-2021_00:00_video11.jpeg;Campaign Material;Collage
olafscholz/2021-09-16_19-01-33_UTC_2.jpg;Campaign Material;Social Media Moderation
afd.bund_17-09-2021_00:00_video2.jpeg;Campaign Material;Campaign Material
susanne_hennig_wellsow_24-09-2021_00:00_image3.jpeg;Behind The Scenes;Review
cdu_14-09-2021_00:00_video2.jpeg;Review;Media Work
spdde_18-09-2021_00:00_video8.jpeg;Behind The Scenes;Behind The Scenes
olafscholz_17-09-2021_00:00_image5.jpeg;Behind The Scenes;Behind The Scenes
markus.soeder/2021-09-14_07-32-45_UTC_1.jpg;Individual Voter Contact;Review
abaerbock/2021-09-25_15-05-02_UTC_1.jpg;Individual Voter Contact;Individual Voter Contact
robert.habeck/2021-09-21_07-27-48_UTC_3.jpg;Individual Voter Contact;Campaign Event
spdde/2021-09-24_20-19-17_UTC_1.jpg;Individual Voter Contact;Individual Voter Contact
nicola_beer_24-09-2021_00:00_video0.jpeg;Individual Voter Contact;Review
abaerbock_23-09-2021_00:00_image6.jpeg;Individual Voter Contact;Social Media Moderation
nicola_beer_26-09-2021_00:00_video1.jpeg;Individual Voter Contact;Social Media Moderation
cdu/2021-09-21_18-48-32_UTC_1.jpg;Individual Voter Contact;Individual Voter Contact
christianlindner/2021-09-17_16-42-20_UTC_1.jpg;Individual Voter Contact;Social Media Moderation
olafscholz_23-09-2021_00:00_image4.jpeg;Campaign Event;Campaign Event
fw_bayern/2021-09-24_05-33-37_UTC.jpg;Campaign Event;Media Work
robert.habeck/2021-09-15_08-15-16_UTC_1.jpg;Campaign Event;Campaign Event
abaerbock_22-09-2021_00:00_image14.jpeg;Campaign Event;Media Work
fdp_20-09-2021_00:00_image7.jpeg;Campaign Event;Campaign Event
die_gruenen_13-09-2021_00:00_video9.jpeg;Collage;Media Work
abaerbock_22-09-2021_00:00_video2.jpeg;Media Work;Collage
christianlindner_20-09-2021_00:00_image5.jpeg;Media Work;Media Work
armin_laschet/2021-09-22_09-18-33_UTC_1.jpg;Campaign Event;Review
olafscholz_17-09-2021_00:00_video9.jpeg;Campaign Event;Social Media Moderation
markus.soeder/2021-09-16_15-50-02_UTC_1.jpg;Individual Voter Contact;Behind The Scenes
fw_bayern_17-09-2021_00:00_video2.jpeg;Individual Voter Contact;Review
cdu_23-09-2021_00:00_image3.jpeg;Individual Voter Contact;Review
susanne_hennig_wellsow/2021-09-24_17-21-09_UTC_6.jpg;Individual Voter Contact;Social Media Moderation
abaerbock/2021-09-22_19-23-29_UTC_4.jpg;Individual Voter Contact;Individual Voter Contact
olafscholz_23-09-2021_00:00_video0.jpeg;Individual Voter Contact;Social Media Moderation
saskiaesken/2021-09-22_05-15-14_UTC.jpg;Individual Voter Contact;Review
abaerbock_24-09-2021_00:00_image1.jpeg;Individual Voter Contact;Behind The Scenes
cdu_23-09-2021_00:00_video4.jpeg;Individual Voter Contact;Review
armin_laschet/2021-09-16_15-01-25_UTC.jpg;Collage;Collage
armin_laschet_25-09-2021_00:00_image1.jpeg;Media Work;Collage
armin_laschet_26-09-2021_00:00_video1.jpeg;Media Work;Media Work
engin_eroglu__17-09-2021_00:00_image5.jpeg;Collage;Media Work
armin_laschet_24-09-2021_00:00_video17.jpeg;Media Work;Collage
spdde_20-09-2021_00:00_image0.jpeg;Collage;Collage
armin_laschet_13-09-2021_00:00_video6.jpeg;Collage;Collage
armin_laschet_14-09-2021_00:00_video2.jpeg;Media Work;Collage
fdp_18-09-2021_00:00_video4.jpeg;Collage;Collage
fw_bayern_25-09-2021_00:00_video0.jpeg;Media Work;Media Work
die_gruenen_23-09-2021_00:00_video9.jpeg;Collage;Review
fdp_20-09-2021_00:00_video4.jpeg;Collage;Collage
grey_gor_22-09-2021_00:00_video0.jpeg;Collage;Collage
nicola_beer_24-09-2021_00:00_video5.jpeg;Collage;Campaign Event
fdp_20-09-2021_00:00_video3.jpeg;Collage;Collage
engin_eroglu__14-09-2021_00:00_image0.jpeg;Media Work;Media Work
christlichsozialeunion/2021-09-16_09-33-33_UTC.jpg;Collage;Review
markus.soeder/2021-09-24_09-12-12_UTC.jpg;Collage;Collage
cdu_26-09-2021_00:00_video16.jpeg;Collage;Collage
dielinke_17-09-2021_00:00_video2.jpeg;Collage;Collage
fw_bayern_26-09-2021_00:00_image0.jpeg;Collage;Collage
grey_gor_25-09-2021_00:00_video0.jpeg;Collage;Collage
die_gruenen/2021-09-25_13-20-51_UTC_3.jpg;Collage;Review
die_gruenen_14-09-2021_00:00_video0.jpeg;Collage;Collage
olafscholz_20-09-2021_00:00_image2.jpeg;Media Work;Collage
christianlindner/2021-09-22_20-20-19_UTC_6.jpg;Campaign Event;Campaign Event
cdu_17-09-2021_00:00_video1.jpeg;Campaign Event;Individual Voter Contact
fw_bayern_14-09-2021_00:00_image0.jpeg;Campaign Material;Collage
spdde_26-09-2021_00:00_video4.jpeg;Campaign Material;Individual Voter Contact
fw_bayern_16-09-2021_00:00_video2.jpeg;Campaign Event;Review
fdp_17-09-2021_00:00_image1.jpeg;Media Work;Media Work
armin_laschet/2021-09-21_11-03-21_UTC_4.jpg;Media Work;Media Work
afd.bund/2021-09-25_07-00-43_UTC.jpg;Media Work;Media Work
abaerbock_20-09-2021_00:00_video1.jpeg;Individual Voter Contact;Behind The Scenes
cdu_19-09-2021_00:00_image0.jpeg;Individual Voter Contact;Individual Voter Contact
christianlindner_25-09-2021_00:00_image5.jpeg;Individual Voter Contact;Social Media Moderation
abaerbock_25-09-2021_00:00_image5.jpeg;Individual Voter Contact;Review
robert.habeck_20-09-2021_00:00_image1.jpeg;Media Work;Media Work
die_gruenen_13-09-2021_00:00_video1.jpeg;Campaign Event;Campaign Event
christlichsozialeunion_25-09-2021_00:00_video10.jpeg;Campaign Event;Collage
cdu/2021-09-24_19-39-33_UTC_7.jpg;Campaign Event;Campaign Event
nicola_beer_20-09-2021_00:00_video3.jpeg;Campaign Event;Campaign Event
robert.habeck_25-09-2021_00:00_image0.jpeg;Campaign Event;Campaign Event
cdu_26-09-2021_00:00_video2.jpeg;Campaign Event;Campaign Event
fdp/2021-09-21_13-31-22_UTC.jpg;Campaign Event;Media Work
die_gruenen_25-09-2021_00:00_video43.jpeg;Campaign Event;Collage
robert.habeck_15-09-2021_00:00_video0.jpeg;Campaign Event;Campaign Event
afd.bund_17-09-2021_00:00_image6.jpeg;Campaign Event;Campaign Event
robert.habeck_25-09-2021_00:00_image15.jpeg;Campaign Event;Campaign Event
abaerbock_18-09-2021_00:00_image15.jpeg;Campaign Event;Campaign Event
robert.habeck_17-09-2021_00:00_image5.jpeg;Campaign Event;Campaign Event
fdp_20-09-2021_00:00_image5.jpeg;Campaign Event;Collage
christlichsozialeunion_24-09-2021_00:00_video8.jpeg;Campaign Event;Media Work
fdp_23-09-2021_00:00_image0.jpeg;Campaign Event;Campaign Event
armin_laschet_19-09-2021_00:00_image2.jpeg;Campaign Event;Campaign Event
christianlindner_22-09-2021_00:00_image5.jpeg;Campaign Event;Campaign Event
cdu_21-09-2021_00:00_video0.jpeg;Media Work;Media Work
dielinke_21-09-2021_00:00_video0.jpeg;Media Work;Media Work
cdu/2021-09-20_19-55-34_UTC.jpg;Media Work;Media Work
abaerbock_20-09-2021_00:00_image4.jpeg;Media Work;Media Work
christlichsozialeunion_20-09-2021_00:00_video2.jpeg;Media Work;Media Work
christlichsozialeunion/2021-09-17_18-58-42_UTC.jpg;Social Media Moderation;Social Media Moderation
christlichsozialeunion_16-09-2021_00:00_video5.jpeg;Social Media Moderation;Social Media Moderation
olafscholz/2021-09-18_16-51-02_UTC.jpg;Social Media Moderation;Social Media Moderation
cdu/2021-09-22_17-17-37_UTC.jpg;Social Media Moderation;Behind The Scenes
die_gruenen_25-09-2021_00:00_video13.jpeg;Social Media Moderation;Social Media Moderation
cdu_20-09-2021_00:00_video30.jpeg;Social Media Moderation;Individual Voter Contact
fdp_18-09-2021_00:00_video0.jpeg;Social Media Moderation;Social Media Moderation
die_gruenen_23-09-2021_00:00_video1.jpeg;Social Media Moderation;Social Media Moderation
olafscholz_17-09-2021_00:00_video6.jpeg;Social Media Moderation;Social Media Moderation
nicola_beer_20-09-2021_00:00_video8.jpeg;Campaign Event;Campaign Event
nicola_beer_20-09-2021_00:00_image11.jpeg;Campaign Event;Campaign Event
atesgurpinar/2021-09-19_08-42-11_UTC_7.jpg;Campaign Event;Campaign Event
abaerbock/2021-09-15_13-20-23_UTC_8.jpg;Campaign Event;Campaign Event
nicola_beer_22-09-2021_00:00_video6.jpeg;Campaign Event;Campaign Event
nicola_beer_20-09-2021_00:00_video9.jpeg;Campaign Event;Campaign Event
abaerbock/2021-09-17_19-48-04_UTC_6.jpg;Campaign Event;Campaign Event
nicola_beer_23-09-2021_00:00_image0.jpeg;Campaign Event;Social Media Moderation
robert.habeck/2021-09-15_19-03-35_UTC_6.jpg;Campaign Event;Review
robert.habeck_24-09-2021_00:00_image10.jpeg;Campaign Event;Campaign Event
armin_laschet_26-09-2021_00:00_video5.jpeg;Campaign Event;Individual Voter Contact
cdu_19-09-2021_00:00_video2.jpeg;Campaign Event;Campaign Event
robert.habeck_18-09-2021_00:00_video3.jpeg;Campaign Event;Campaign Event
armin_laschet_17-09-2021_00:00_video13.jpeg;Campaign Event;Campaign Event
susanne_hennig_wellsow/2021-09-17_11-47-48_UTC_2.jpg;Campaign Event;Campaign Event
fdp_20-09-2021_00:00_video5.jpeg;Campaign Event;Campaign Event
saskiaesken_25-09-2021_00:00_video5.jpeg;Campaign Event;Campaign Event
die_gruenen_25-09-2021_00:00_video5.jpeg;Campaign Event;Campaign Event
cdu_25-09-2021_00:00_video3.jpeg;Campaign Event;Campaign Event
armin_laschet_25-09-2021_00:00_video9.jpeg;Campaign Event;Campaign Event
robert.habeck_16-09-2021_00:00_image5.jpeg;Campaign Event;Campaign Event
armin_laschet_18-09-2021_00:00_video0.jpeg;Campaign Event;Individual Voter Contact
spdde_25-09-2021_00:00_image1.jpeg;Campaign Material;Campaign Event
spdde_25-09-2021_00:00_image2.jpeg;Campaign Material;Social Media Moderation
afd.bund_17-09-2021_00:00_image1.jpeg;Campaign Material;Campaign Material
cdu_18-09-2021_00:00_image2.jpeg;Campaign Material;Campaign Material
susanne_hennig_wellsow/2021-09-14_16-35-45_UTC.jpg;Campaign Material;Social Media Moderation
susanne_hennig_wellsow_24-09-2021_00:00_image4.jpeg;Campaign Material;Social Media Moderation
atesgurpinar/2021-09-16_07-42-52_UTC_1.jpg;Campaign Material;Campaign Material
fw_bayern_19-09-2021_00:00_video3.jpeg;Campaign Material;Social Media Moderation
dielinke_23-09-2021_00:00_video2.jpeg;Campaign Material;Collage
dielinke/2021-09-22_07-45-52_UTC_6.jpg;Behind The Scenes;Behind The Scenes
christlichsozialeunion_25-09-2021_00:00_video1.jpeg;Review;Campaign Material
olafscholz_19-09-2021_00:00_image3.jpeg;Review;Individual Voter Contact
nicola_beer/2021-09-23_12-42-44_UTC_1.jpg;Behind The Scenes;Campaign Material
armin_laschet/2021-09-21_05-10-21_UTC_1.jpg;Review;Review
olafscholz/2021-09-26_09-32-19_UTC.jpg;Review;Review
christlichsozialeunion_16-09-2021_00:00_video13.jpeg;Review;Campaign Event
fw_bayern_24-09-2021_00:00_image5.jpeg;Review;Review
robert.habeck_25-09-2021_00:00_image10.jpeg;Review;Review
abaerbock_25-09-2021_00:00_image4.jpeg;Review;Review
abaerbock_17-09-2021_00:00_image2.jpeg;Review;Social Media Moderation
saskiaesken_13-09-2021_00:00_image0.jpeg;Behind The Scenes;Behind The Scenes
spdde_26-09-2021_00:00_video7.jpeg;Behind The Scenes;Social Media Moderation
die_gruenen_13-09-2021_00:00_video4.jpeg;Behind The Scenes;Media Work
markus.soeder/2021-09-15_15-55-29_UTC_3.jpg;Review;Media Work
armin_laschet_14-09-2021_00:00_video3.jpeg;Behind The Scenes;Campaign Event
olafscholz_19-09-2021_00:00_video8.jpeg;Review;Review
robert.habeck_17-09-2021_00:00_image8.jpeg;Behind The Scenes;Behind The Scenes
fw_bayern/2021-09-16_09-55-06_UTC.jpg;Review;Media Work
spdde/2021-09-24_17-55-02_UTC_3.jpg;Behind The Scenes;Social Media Moderation
markus.soeder/2021-09-16_10-22-44_UTC_3.jpg;Behind The Scenes;Behind The Scenes
fw_bayern_24-09-2021_00:00_video5.jpeg;Review;Individual Voter Contact
afd.bund_18-09-2021_00:00_image0.jpeg;Review;Individual Voter Contact
dielinke/2021-09-23_16-25-13_UTC.jpg;Behind The Scenes;Behind The Scenes
fw_bayern_17-09-2021_00:00_video5.jpeg;Behind The Scenes;Collage
cdu/2021-09-20_16-32-49_UTC_1.jpg;Review;Review
abaerbock_17-09-2021_00:00_image6.jpeg;Review;Review
markus.soeder/2021-09-24_18-00-27_UTC_1.jpg;Review;Review
abaerbock_20-09-2021_00:00_image6.jpeg;Behind The Scenes;Social Media Moderation
fw_bayern_23-09-2021_00:00_image2.jpeg;Review;Review
armin_laschet/2021-09-17_12-59-07_UTC_1.jpg;Review;Review
christlichsozialeunion_18-09-2021_00:00_video1.jpeg;Review;Collage
robert.habeck_21-09-2021_00:00_image7.jpeg;Review;Review
robert.habeck_18-09-2021_00:00_video1.jpeg;Review;Collage
afd.bund_16-09-2021_00:00_video1.jpeg;Review;Social Media Moderation
nicola_beer_20-09-2021_00:00_video13.jpeg;Behind The Scenes;Individual Voter Contact
robert.habeck_18-09-2021_00:00_image7.jpeg;Review;Review
fw_bayern/2021-09-26_18-45-03_UTC.jpg;Review;Review
abaerbock_22-09-2021_00:00_image16.jpeg;Behind The Scenes;Behind The Scenes
olafscholz_22-09-2021_00:00_video5.jpeg;Review;Social Media Moderation
christianlindner/2021-09-22_08-40-29_UTC.jpg;Collage;Media Work
die_gruenen/2021-09-17_15-18-32_UTC_1.jpg;Collage;Campaign Event
cdu/2021-09-20_10-21-05_UTC.jpg;Collage;Media Work
cdu/2021-09-20_18-32-31_UTC_1.jpg;Collage;Media Work
die_gruenen_26-09-2021_00:00_video6.jpeg;Collage;Collage
christlichsozialeunion_16-09-2021_00:00_video11.jpeg;Collage;Collage
spdde/2021-09-16_17-00-51_UTC.jpg;Collage;Campaign Material
armin_laschet_17-09-2021_00:00_video0.jpeg;Media Work;Media Work
die_gruenen_23-09-2021_00:00_video6.jpeg;Collage;Media Work
fw_bayern_20-09-2021_00:00_video0.jpeg;Collage;Collage
spdde/2021-09-16_16-07-38_UTC.jpg;Media Work;Campaign Material
christlichsozialeunion_25-09-2021_00:00_video21.jpeg;Collage;Collage
